ezloophw-py logger started on:,2026-3-11_160354
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1020., 1020., 1020., 1020.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
57843992,6.305000,0.000000,0.000000,1012.51,1012.94,1014.12,1014.94,0.0,0.01,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,326.1043621348887,449.19716052328573,6.597248199298625,325.78688549854843,219.83195607687696,6.689652155107258,328.8007686762218,28.53209212269679,-6.785425443994384,0.07930609956097356,-1.0612186999691777
57844092,6.405000,0.000000,0.000000,1012.51,1012.86,1014.15,1014.93,0.0,0.01,1399.9,0.0,0.0,0.0,0.0,0.0,0.0,326.107417126628,449.20594414940336,6.568780336986674,325.77601389753653,219.82786783219282,6.6970624260777685,328.85058992751533,28.53780863272152,-6.840280837966506,0.08278033121931443,-1.086387724034465
57844192,6.504000,0.000000,0.000000,1012.43,1012.91,1014.03,1015.04,0.0,0.01,1400.06,0.0,0.0,0.0,0.0,0.0,0.0,326.0989704461766,449.2113071830308,6.576297532329675,325.79510324826487,219.82420737324387,6.726883097045622,328.8377826381606,28.540821851142695,-6.836481908017673,0.07589920184413464,-1.0631059168150754
57844292,6.604000,0.000000,0.000000,1012.54,1012.81,1014.1,1015.03,0.0,0.01,1400.01,0.0,0.0,0.0,0.0,0.0,0.0,326.10625759186047,449.19700921796846,6.584742155826697,325.7768882619092,219.81740987255736,6.704465716882153,328.889532763817,28.558657148305958,-6.911680256313143,0.08227174339431254,-1.0969225171718193
57844392,6.704000,0.000000,0.000000,1012.48,1012.91,1014.07,1015.0,0.0,0.01,1400.14,0.0,0.0,0.0,0.0,0.0,0.0,326.1014478135402,449.2052931984748,6.58880014928484,325.78546029457897,219.8248897419284,6.67742384294208,328.8112484447187,28.54266566724411,-6.86636092219743,0.07892888620834823,-1.0641125680851666
57844493,6.804000,0.000000,0.000000,1012.44,1012.95,1014.08,1015.0,0.0,0.01,1400.1,0.0,0.0,0.0,0.0,0.0,0.0,326.11588086905135,449.2026295925691,6.5823641691858725,325.78884550128333,219.81727888659373,6.718760238282768,328.8753109013746,28.554889078434876,-6.9031984628774525,0.08168670567381446,-1.0878943951895172
57844592,6.905000,0.000000,0.000000,1012.57,1012.8,1013.99,1014.98,0.0,0.01,1400.04,0.0,0.0,0.0,0.0,0.0,0.0,326.102732096123,449.20419319238334,6.592714129041304,325.7818501514676,219.82454827975283,6.699410280374673,328.8271184533348,28.53392568418419,-6.896900751185431,0.08015170293219581,-1.0723516876136794
57844692,7.005000,0.000000,0.000000,1012.46,1012.8,1014.1,1014.99,0.0,0.0,1399.97,0.0,0.0,0.0,0.0,0.0,0.0,326.101479968927,449.2031408236384,6.586715033779154,325.79294790333114,219.8145741123534,6.701936848013871,328.8689355069525,28.55877359182279,-6.886081453186908,0.07706388682099403,-1.075542515151594
57844792,7.105000,0.000000,0.000000,1012.51,1012.84,1014.07,1014.91,0.0,0.0,1399.99,0.0,0.0,0.0,0.0,0.0,0.0,326.0992886031602,449.19727183835244,6.566914116916621,325.78336096237496,219.8216984317741,6.717682729482111,328.8818236863183,28.546879330109853,-6.911956221558373,0.0789155912866953,-1.0858849222862739
57844893,7.205000,0.000000,0.000000,1012.45,1012.87,1014.05,1015.03,0.0,0.0,1399.93,0.0,0.0,0.0,0.0,0.0,0.0,326.1041508494996,449.19703651763655,6.592699846776105,325.7834508190284,219.81873292910248,6.70300524814899,328.8382981328365,28.544875482210685,-6.892232105067985,0.08010673187271809,-1.075210321347836
57844993,7.305000,0.000000,0.000000,1012.46,1012.8,1014.12,1014.97,0.0,0.0,1400.03,0.0,0.0,0.0,0.0,0.0,0.0,326.1105064346267,449.1925033656199,6.577973029535623,325.76777924673365,219.81766032790574,6.69399921769165,328.888807624011,28.549069909945633,-6.926093913987709,0.08561011537742162,-1.1060620926414155
