ezloophw-py logger started on:,2026-3-5_141727,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
51456982,5.802000,0.000000,0.000000,1028.14,1028.54,1029.67,1030.6,0.01,0.0,1400.73,649.7304774591930,672.5869035479500,0.3146525116503470,646.371750366551,330.2071335771440,2.345781808855900,644.3862585922370,40.669110523033500,-0.4965679027292010,0.5620504801782440,-0.7312043224658
51457081,5.904000,0.000000,0.000000,1028.23,1028.58,1029.73,1030.51,0.0,0.0,1400.83,649.7456293611720,672.5880753967870,0.3104493348529510,646.3654029265310,330.20379146125800,2.5119542663820900,644.362626934119,40.667591030611800,-0.44805228753422700,0.5656404970485230,-0.7349617035158880
51457182,6.009000,0.000000,0.000000,1028.02,1028.48,1029.79,1030.5,0.0,0.0,1400.83,649.6912012474090,672.5234315631300,0.29589694913085500,646.3177729381520,330.20886571631700,2.373415363072240,644.2438051572570,40.70294099191950,-0.4385152921529860,0.5646179487347580,-0.718786377041559
51457282,6.105000,0.000000,0.000000,1028.01,1028.47,1029.74,1030.5,-0.01,-0.01,1400.74,649.7616910378870,672.6213128615820,0.44477542559030800,646.2758369428250,330.20151181400100,2.4080073215650000,644.1947489030130,40.64877775805330,-0.3376190851325050,0.5832543213463610,-0.7547166118066840
51457381,6.204000,0.000000,0.000000,1028.08,1028.43,1029.69,1030.6,-0.01,0.0,1400.88,649.7324068867910,672.572521804688,0.2908769307600940,646.2438110695100,330.19402068592300,2.3964090970596700,644.0681584772160,40.7328289948021,-0.2624960849034300,0.5837834419364360,-0.7369275875845840
51457482,6.305000,0.000000,0.000000,1028.23,1028.55,1029.68,1030.58,-0.02,0.0,1400.87,649.7335500635050,672.5866236664440,0.2965904729772530,646.263884735094,330.21189921648900,2.417394160386730,644.0628739795860,40.64747460669690,-0.34386898356852500,0.5806222257452980,-0.7257413730736360
51457581,6.405000,0.000000,0.000000,1028.14,1028.57,1029.69,1030.51,-0.03,0.0,1400.68,649.6897749444930,672.5282585424830,0.3171751673208300,646.2876958672370,330.20410455429000,2.4721048207311700,644.0512111638510,40.63634874275620,-0.3062132185851110,0.5693970273500220,-0.6962772897186940
51457681,6.504000,0.000000,0.000000,1028.1,1028.5,1029.76,1030.62,-0.04,0.0,1400.75,649.6745812261570,672.5299867542740,0.30689056425085300,646.2795246853580,330.20047068109400,2.3937646114644800,644.1628546838230,40.699401808841300,-0.4236757100832940,0.5682128612686440,-0.7175184721320470
51457781,6.605000,0.000000,0.000000,1028.14,1028.43,1029.69,1030.62,-0.04,0.0,1400.83,649.7451564664880,672.5861051231510,0.30108871997788800,646.3237987985150,330.207466493971,2.50725958652986,644.2074413167280,40.70333817288670,-0.44271599586100000,0.5725323014037440,-0.726223626708292
51457882,6.704000,0.000000,0.000000,1028.1,1028.55,1029.68,1030.55,-0.04,0.0,1400.82,649.749183294976,672.6221844032650,0.44921236493118700,646.3220109052350,330.20561331837000,2.364661047397590,644.2376994271340,40.71354538035790,-0.4800797906711990,0.5734417480174760,-0.7343672283307880
51457982,6.804000,0.000000,0.000000,1028.11,1028.45,1029.71,1030.47,-0.05,0.0,1400.72,649.6892601999530,672.5364270341040,0.29853795933485000,646.3936578609120,330.18434986709100,2.5198968743997600,644.3748862032200,40.669519907104900,-0.477742536525065,0.5515324291257900,-0.7035508810154710
51458082,6.905000,0.000000,0.000000,1028.14,1028.44,1029.66,1030.49,-0.05,0.0,1400.72,649.6959786271390,672.5343782925450,0.3275800604963110,646.3380014908660,330.2063597073010,2.342272774167180,644.3847387909120,40.67825730912150,-0.4224107763407050,0.5620099337601400,-0.7374874022881480
