ezloophw-py logger started on:,2026-2-3_164256
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1030., 1030., 1030., 1030.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,FILpressure_0,FILpressure_1,FILpressure_2,FILpressure_3,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
60184144,4.501000,0.000000,0.000000,1031.41,1030.14,1030.57,1031.32,-0.0,-0.01,0.27,0.03,0.12,0.26,1378.35,0.0,0.0,0.0,0.0,634.080954475236,666.1106692320292,-0.19559613595481157,634.6614178733123,315.3271661375992,0.5352882830410834,643.9122248701915,38.73870970152544,-4.850018396403002,-0.09481082269276114,-1.7259850238772914
60184243,4.601000,0.000000,0.000000,1031.15,1030.31,1030.51,1031.32,-0.0,-0.01,0.23,0.0,0.11,0.26,1378.96,0.0,0.0,0.0,0.0,634.0667414580939,666.110761054508,-0.1869804324629767,631.2989831278064,315.2583563463646,1.6521438139187616,636.1447089918585,38.65636438073705,-4.0475710193282035,0.4519780382831376,-1.9076048237875565
60184344,4.701000,0.000000,0.000000,1031.11,1030.37,1030.57,1031.23,-0.0,-0.0,0.23,0.01,0.12,0.25,1379.45,0.0,0.0,0.0,0.0,634.072965197001,666.1111939529453,-0.1859490684750122,628.5557478662643,315.4199063056755,2.5077966637889575,629.0240813870065,38.72678780429024,-2.560046797080357,0.9013260450626861,-1.8996314030299633
60184444,4.802000,0.000000,0.000000,1031.11,1030.14,1030.68,1031.22,-0.0,-0.0,0.23,0.03,0.14,0.25,1380.1,0.0,0.0,0.0,0.0,634.0763946203194,666.0974046101593,-0.20881820366226309,627.0544481478239,315.394691409722,2.739470994596733,625.0000276826844,38.72320481928188,-1.675274370024608,1.1470517053925724,-1.8686621768463374
60184544,4.901000,0.000000,0.000000,1031.25,1030.02,1030.65,1031.24,-0.0,-0.0,0.25,0.05,0.13,0.25,1379.48,0.0,0.0,0.0,0.0,634.0645484328198,666.1061047883849,-0.1976316294318946,627.5449152194166,315.33800298287497,2.5637360364281405,625.5945240797327,38.67844396267604,-1.7664441553021764,1.0648187735076455,-1.7257211601695133
60184643,5.001000,0.000000,0.000000,1031.17,1029.94,1030.48,1031.23,-0.0,-0.0,0.24,0.06,0.11,0.25,1380.03,0.0,0.0,0.0,0.0,634.0683050279534,666.12068069015,-0.17079181547703715,629.6488725122582,315.26690118143324,2.0926377349865595,630.4654741445224,38.70995622440198,-2.870096253678954,0.7216722605204797,-1.6125237513943782
60184743,5.101000,0.000000,0.000000,1031.64,1029.79,1030.64,1031.17,-0.0,-0.01,0.32,0.09,0.13,0.24,1380.62,0.0,0.0,0.0,0.0,634.0771023783581,666.1059143018517,-0.22041857532674053,632.8390661868272,315.36629259498886,1.239659744229132,637.6555956612523,38.73193402420612,-3.953003250541722,0.2022410633758884,-1.401968234129118
60184843,5.201000,0.000000,0.000000,1031.31,1029.77,1030.65,1031.14,-0.0,-0.01,0.26,0.09,0.14,0.24,1381.03,0.0,0.0,0.0,0.0,634.064563969322,666.0970917780771,-0.2257298744245827,635.4390759795734,315.2660388733776,0.4939938052085523,644.4573582735842,38.805418181785335,-4.495424237641458,-0.2244765207621419,-1.4194011321820943
60184943,5.302000,0.000000,0.000000,1031.45,1029.88,1030.65,1031.15,-0.0,-0.0,0.29,0.07,0.14,0.24,1381.54,0.0,0.0,0.0,0.0,634.0710056972425,666.1107467279506,-0.19937105701635555,636.9097873376055,315.28071578999806,0.03060265796158419,648.4745687908169,38.80663720588089,-4.605142477408922,-0.4636052873158584,-1.4680487444782773
60185043,5.401000,0.000000,0.000000,1031.39,1029.98,1030.66,1031.2,-0.0,-0.0,0.28,0.05,0.14,0.25,1381.9,0.0,0.0,0.0,0.0,634.0769849957085,666.1118939178707,-0.18192285675385403,636.643309568842,315.34913568899594,-0.07751552659674643,648.0272884193796,38.80993334433844,-4.426859556625182,-0.41919200333067475,-1.518916035915067
60185144,5.502000,0.000000,0.000000,1031.27,1030.17,1030.63,1031.2,-0.0,-0.0,0.26,0.02,0.13,0.25,1382.25,0.0,0.0,0.0,0.0,634.0713718693488,666.1117878706345,-0.2033266574637177,634.5340360525443,315.3672000947557,0.6400136014881525,643.6658728164344,38.75336166487513,-4.5285709020359475,-0.07557832844124339,-1.7396589170223755
60185243,5.602000,0.000000,0.000000,1031.15,1030.27,1030.51,1031.33,-0.0,-0.0,0.24,0.0,0.11,0.27,1382.49,0.0,0.0,0.0,0.0,634.0569234528386,666.1052009062234,-0.19234835937872524,631.5988557582466,315.2210592793619,1.5753521538634936,636.9349685944686,38.76536550175306,-4.158346136532287,0.4013706638778093,-1.9085199071919559
60185343,5.702000,0.000000,0.000000,1031.19,1030.3,1030.59,1031.25,-0.0,-0.0,0.24,0.0,0.13,0.26,1382.69,0.0,0.0,0.0,0.0,634.066041464639,666.0936146047516,-0.20871053568657194,629.0234931749019,315.24497470823866,2.204987574674845,630.2913763440918,38.64750484365751,-2.8212766289808653,0.8234230122923081,-1.9094798287094705
60185443,5.801000,0.000000,0.000000,1031.27,1030.26,1030.62,1031.28,-0.01,-0.0,0.26,0.01,0.13,0.26,1382.76,0.0,0.0,0.0,0.0,634.0611958556834,666.1068778754404,-0.1735031965442183,627.5467744573566,315.30312320455516,2.415015609647199,626.5104612692046,38.67188468136943,-1.710657362846857,1.0638596415677448,-1.9130794091548669
60185543,5.900000,0.000000,0.000000,1031.29,1030.11,1030.6,1031.13,-0.01,-0.0,0.26,0.03,0.13,0.24,1381.9,0.0,0.0,0.0,0.0,634.0733014087971,666.1154257830965,-0.19891593438395055,627.830400075764,315.29614197115643,2.420565170065525,626.7073885908541,38.68283113136837,-1.6676529315292115,1.0194825806002774,-1.8063535608287853
60185643,6.001000,0.000000,0.000000,1031.44,1030.01,1030.56,1031.07,-0.01,-0.0,0.29,0.05,0.12,0.23,1382.01,0.0,0.0,0.0,0.0,634.071823350847,666.110580167185,-0.15078125948325388,629.7203134731831,315.2540000270096,2.040033611159192,630.6929210332213,38.636854289534234,-2.701497808565049,0.710576292223338,-1.6226082047095125
60185743,6.101000,0.000000,0.000000,1031.47,1029.85,1030.65,1031.17,-0.01,-0.0,0.3,0.08,0.14,0.25,1382.39,0.0,0.0,0.0,0.0,634.0636744754955,666.1132389552963,-0.18117886595879193,632.5089495008315,315.4240789233655,1.1662501807220746,637.1300303690565,38.733987522437516,-4.07909035603352,0.2540101203804974,-1.4648445916595896
