ezloophw-py logger started on:,2026-3-9_121724
ctrl_params:,{'n_inputs': 2, 'bidirectional': True, 'u_offset': array([1022., 1022., 1022., 1022.]), 'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')}
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
44280416,32.438000,-10.149283,30.663345,1016.81,1026.07,1040.66,1019.19,-0.03,0.01,1397.73,649.7377785444553,672.3826730042003,0.3067253589458359,656.6947325542535,329.3989247594278,-1.177915139160797,658.528837739512,42.86920192882821,2.054027979186127,-1.1620068101296135,1.9572626597591858
44280517,32.538000,-8.408624,25.093540,1016.79,1025.98,1046.96,1021.07,-0.03,0.01,1397.49,649.7376083650868,672.370470119203,0.2975157033336183,655.2020582524699,329.2371874548051,-0.8576900207594307,654.5740295686368,42.81394342569839,2.801390657536965,-0.9123669084943808,1.9503637582753799
44280617,32.639000,-8.173543,24.463265,1016.78,1026.08,1047.87,1021.12,-0.03,0.0,1397.22,649.7204445872983,672.3892881016891,0.2988635677700465,654.4450811138269,329.28545078926555,-0.5408776470983058,651.8467586902963,42.874412097720395,3.158213476005713,-0.7889291666229474,2.097631682138923
44280716,32.739000,-8.486082,25.413220,1016.81,1025.88,1047.24,1020.4,-0.03,0.0,1396.62,649.7159385732936,672.3958159461524,0.34006351208850455,655.0235901810603,329.2107701962633,-0.5809178085474508,648.8658789134046,42.939380438988515,4.773684318879708,-0.7889291666229474,2.097631682138923
44280816,32.839000,-8.342744,25.100286,1016.79,1025.86,1046.93,1019.81,-0.02,0.0,1396.83,649.7159385732936,672.3958159461524,0.34006351208850455,655.0235901810603,329.2107701962633,-0.5809178085474508,648.8658789134046,42.939380438988515,4.773684318879708,-0.8860578187703813,3.004360569173972
44280917,32.938000,-10.156238,30.662847,1016.9,1025.74,1046.72,1019.56,-0.02,0.0,1397.38,649.7305896065621,672.3846449538942,0.34479440918129595,654.9598045661603,329.23766976510393,-0.7599922355581743,650.2425439789592,42.92229403098705,4.536509073130874,-0.8737848204520122,2.6914751856645003
44281017,33.039000,-11.012538,33.568311,1016.82,1025.63,1046.84,1019.34,-0.02,0.0,1398.03,649.7330384144981,672.3971338256098,0.32260695907168585,656.9011845737206,329.39286781755754,-1.0864712623336614,654.1892292807562,42.89151098985961,4.021843970421223,-1.1972001196291375,2.9367325816098067
44281116,33.139000,-10.521031,32.067254,1016.8,1025.63,1046.69,1019.32,-0.03,0.0,1398.46,649.7282135225769,672.3979644712874,0.3303984988189262,657.8488477934691,329.3507250819861,-1.685382036404469,656.0565489850903,42.95935156077547,3.9635553751827692,-1.3560557782188762,3.070676185928979
44281217,33.238000,-10.468548,32.057013,1017.83,1027.49,1047.3,1019.41,-0.02,0.0,1397.36,649.7282135225769,672.3979644712874,0.3303984988189262,657.8488477934691,329.3507250819861,-1.685382036404469,656.0565489850903,42.95935156077547,3.9635553751827692,-1.3560557782188762,3.070676185928979
44281317,33.339000,-8.618002,26.335096,1017.79,1029.29,1047.43,1019.32,-0.03,0.0,1397.31,649.6695600294141,672.3133502573785,0.28642342823090444,658.5656109828502,329.43228817754147,-1.87153551980936,658.461586656543,42.95837062252611,3.6484870126388205,-1.486205883207048,2.993216992429101
44281418,33.440000,-7.664353,23.463693,1017.36,1029.43,1047.51,1019.24,-0.03,0.0,1397.89,649.7380497953468,672.3933685964735,0.325726869671299,658.7250522516159,329.3835834179236,-1.7377850201867455,657.567508674179,42.99399158072895,4.01572641142782,-1.50083046662446,3.2332405797306953
44281517,33.540000,-9.521873,28.890800,1017.04,1029.28,1047.4,1019.26,-0.03,0.0,1398.33,649.7353733394359,672.3763579570639,0.3057888790633386,658.5380226674575,329.4016005279846,-1.983794234426912,658.1629865849346,42.97142888224825,3.696079611480993,-1.470207193402869,3.015434320252926
44281618,33.639000,-9.422303,28.682689,1016.9,1028.99,1046.52,1019.17,-0.03,0.0,1398.38,649.7322019002985,672.3812261584716,0.2650046751369032,659.2349593220627,329.42347208304017,-1.9327256303150617,658.6245391999155,42.95078206525582,3.8637756135539463,-1.587159391651635,3.2964052683866547
44281717,33.740000,-10.142555,30.816437,1016.78,1028.95,1046.89,1019.02,-0.03,0.0,1398.67,649.738968481788,672.4054992734316,0.33439743677810063,659.6097469903594,329.46125886561845,-2.183494490263264,660.6688553483764,43.04894305282746,3.503555198556876,-1.6486582542318933,3.085446560763606
44281818,33.840000,-11.766478,35.810643,1016.89,1028.77,1046.42,1019.09,-0.03,0.0,1397.93,649.7298065599421,672.3890970438537,0.2824899793944247,660.4573206046624,329.5074330926636,-2.418860358165591,662.1147273851752,42.98918599327768,3.3121532617932967,-1.791990991398031,3.2525498480984347
