ezloophw-py logger started on:,2026-3-16_144706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,ddq_0,ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
53235512,5.407000,0.000000,0.000000,1006.18,1006.41,1007.68,1008.48,0.02,-0.01,1.0,1.0,1.0,1.0,1399.8,0.0,0.0,0.0,0.0,0.0,0.0,326.11662018083000,449.1395218185700,6.602130330641380,323.73573935064700,219.36873436504900,7.511024314963270,323.9775247352180,29.759068150444100,-5.829804962030980,0.5936766053527160,-1.2604152800168200
53235612,5.506000,0.000000,0.000000,1006.1,1006.53,1007.59,1008.4,0.02,-0.01,1.0,1.0,1.0,1.0,1399.83,0.0,0.0,0.0,0.0,0.0,0.0,326.10811756300800,449.137006650889,6.5920952682282800,323.7797973668030,219.35706410111700,7.504939465260820,323.9483145126140,29.741553494975600,-5.8664175298225700,0.5805483007819760,-1.2120171125372800
53235712,5.607000,0.000000,0.000000,1006.02,1006.51,1007.6,1008.46,0.02,-0.01,1.0,1.0,1.0,1.0,1399.64,0.0,0.0,0.0,0.0,0.0,0.0,326.1133289316350,449.13629093148400,6.591407500988900,323.6988127755120,219.36399027534500,7.469889892562140,323.993546000761,29.669426756713000,-5.74033400033261,0.6020590522038410,-1.293139929741590
53235813,5.705000,0.000000,0.000000,1006.12,1006.48,1007.58,1008.55,0.02,-0.01,1.0,1.0,1.0,1.0,1399.87,0.0,0.0,0.0,0.0,0.0,0.0,326.1043251149030,449.1348735636650,6.588827531861630,323.7795708116910,219.37263833867100,7.519723171279390,323.9698389743780,29.68375068735350,-5.76475027139874,0.5797039043193630,-1.216878539668670
53235912,5.805000,0.000000,0.000000,1006.04,1006.53,1007.67,1008.5,0.03,-0.01,1.0,1.0,1.0,1.0,1399.85,0.0,0.0,0.0,0.0,0.0,0.0,326.1095041735340,449.1418847800100,6.590088997436950,323.7233421130400,219.35292222919200,7.38324571393814,323.99165375433100,29.65851373767580,-5.711775997123320,0.5949463369071030,-1.2709341473632400
53236013,5.905000,0.000000,0.000000,1006.08,1006.44,1007.57,1008.39,0.02,-0.01,1.0,1.0,1.0,1.0,1399.62,0.0,0.0,0.0,0.0,0.0,0.0,326.11269479719000,449.14277653208400,6.5790818631556800,323.79219668177400,219.36434365769100,7.504836693988600,323.9829920126930,29.659874981491400,-5.726572903705480,0.5786018605790580,-1.2148289505628100
53236113,6.005000,0.000000,0.000000,1006.19,1006.48,1007.65,1008.44,0.02,-0.01,1.0,1.0,1.0,1.0,1399.83,0.0,0.0,0.0,0.0,0.0,0.0,326.10866345844800,449.12925974305400,6.600609466648330,323.77909621789300,219.37310805767800,7.514724812692540,323.97481284064300,29.764236644376000,-5.84658494884832,0.5809193630456530,-1.2209801175142000
53236212,6.104000,0.000000,0.000000,1006.11,1006.55,1007.72,1008.44,0.02,-0.01,1.0,1.0,1.0,1.0,1399.87,0.0,0.0,0.0,0.0,0.0,0.0,326.1079840231580,449.1433216564270,6.596944505684240,323.71628384282700,219.35091095921800,7.454049621146870,323.98519117463500,29.768573102549700,-5.824801990322540,0.5963181197567000,-1.2739056501254800
53236312,6.206000,0.000000,0.000000,1006.2,1006.49,1007.66,1008.41,0.02,-0.01,1.0,1.0,1.0,1.0,1399.72,0.0,0.0,0.0,0.0,0.0,0.0,326.1170282591470,449.1382635119250,6.5966861650677300,323.791428323141,219.3630705430930,7.520613359300000,323.9947567714320,29.76144679469730,-5.840423661020330,0.5798820570890820,-1.2212079839393900
53236412,6.306000,0.000000,0.000000,1006.14,1006.58,1007.7,1008.53,0.02,-0.01,1.0,1.0,1.0,1.0,1399.84,0.0,0.0,0.0,0.0,0.0,0.0,326.1153988387930,449.14207348491,6.586997664103950,323.74731479159700,219.37297404127200,7.543851083545040,323.9757036301910,29.763493439783300,-5.839088861617760,0.5904902704484920,-1.2499945488951500
