ezloophw-py logger started on:,2026-3-19_150727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1020.,1020,1020,1020.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,smoothed_q_0,smoothed_q_1,smoothed_dq_0,smoothed_dq_1,smoothed_ddq_0,smoothed_ddq_1,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
54455376,4.313000,0.000000,0.000000,1023.95,1024.34,1025.49,1026.27,0.01,0.0,1.0,1.0,1.0,1.0,1400.33,0.0,0.0,0.0,0.0,0.0,0.0,326.1373883337990,449.3378602393380,6.466972962697490,323.8641664509350,219.53968724614700,7.670792558601430,323.2292138322200,29.338641159562100,-5.142259424855400,0.5667659140038520,-0.9422606922923950
54455476,4.412000,0.000000,0.000000,1023.96,1024.33,1025.39,1026.27,0.0,0.0,1.0,1.0,1.0,1.0,1400.59,0.0,0.0,0.0,0.0,0.0,0.0,326.12482003668900,449.33210644393600,6.472827903804530,323.88035383058900,219.45222161865300,7.514029511627730,323.14460695891500,29.39595953930750,-5.114062941778930,0.559398030069765,-0.8969934239354110
54455577,4.512000,0.000000,0.000000,1023.98,1024.35,1025.5,1026.32,0.01,0.0,1.0,1.0,1.0,1.0,1400.49,0.0,0.0,0.0,0.0,0.0,0.0,326.17019167541100,449.21738904442900,6.546594111502920,323.8675900810880,219.51318270738900,7.804005293714090,323.19588312783800,29.513271016243400,-5.138432078305980,0.5743252884517660,-0.9460935714168110
54455676,4.612000,0.000000,0.000000,1023.96,1024.28,1025.58,1026.34,0.01,0.0,1.0,1.0,1.0,1.0,1400.51,0.0,0.0,0.0,0.0,0.0,0.0,326.1284577413100,449.28417520908500,6.530962700650990,323.8221795186820,219.44636990007800,7.635837475652800,323.25959882228100,29.432676824485700,-5.171996051805090,0.5749079166092650,-0.9801785569140200
54455776,4.710000,0.000000,0.000000,1023.87,1024.44,1025.43,1026.3,0.01,0.0,1.0,1.0,1.0,1.0,1400.6,0.0,0.0,0.0,0.0,0.0,0.0,326.1300725360990,449.2373801004120,6.553668538205500,323.884241863187,219.4387442383640,7.597794378306610,323.28002739115600,29.441670383979700,-5.192965670189310,0.559935972114754,-0.9376648093310310
54455877,4.811000,0.000000,0.000000,1023.99,1024.26,1025.53,1026.35,0.01,0.0,1.0,1.0,1.0,1.0,1400.51,0.0,0.0,0.0,0.0,0.0,0.0,326.1231803781140,449.2604086423940,6.520156650595570,323.8693911876740,219.57172826322100,7.782255934399020,323.32683089174600,29.463917449401700,-5.233792567956970,0.5621890645497300,-0.9608586474182400
54455978,4.911000,0.000000,0.000000,1023.95,1024.22,1025.45,1026.29,0.01,0.0,1.0,1.0,1.0,1.0,1400.56,0.0,0.0,0.0,0.0,0.0,0.0,326.1286017276690,449.2618891444180,6.5412154095073700,323.87881724300100,219.44696214863,7.6121826237713100,323.29918760499000,29.426429021357100,-5.188602945356270,0.560881923051512,-0.9469920549220840
54456078,5.013000,0.000000,0.000000,1023.93,1024.3,1025.6,1026.29,0.01,0.0,1.0,1.0,1.0,1.0,1400.58,0.0,0.0,0.0,0.0,0.0,0.0,326.12860590880600,449.2502073292240,6.532450763605510,323.864988193626,219.50754118859200,7.847909013086880,323.2989838417260,29.464844245985700,-5.2153990259344,0.5645078776465620,-0.958372183161891
54456177,5.112000,0.000000,0.000000,1023.87,1024.27,1025.46,1026.47,0.01,0.0,1.0,1.0,1.0,1.0,1400.42,0.0,0.0,0.0,0.0,0.0,0.0,326.13249116070700,449.24758966430200,6.517299483729160,323.82313201782700,219.4495692711960,7.620885765968840,323.1607953453960,29.48317441244080,-5.104608859471980,0.5757755352797730,-0.9517844634082290
54456278,5.213000,0.000000,0.000000,1023.92,1024.38,1025.54,1026.3,0.01,0.0,1.0,1.0,1.0,1.0,1400.49,0.0,0.0,0.0,0.0,0.0,0.0,326.1242120228240,449.25566321053200,6.533491567564700,323.77299825927900,219.48172023025400,7.6544450180421,323.1413934273600,29.48618505761140,-5.169266760125240,0.5862715415080390,-0.9820746183196070
54456377,5.313000,0.000000,0.000000,1023.97,1024.25,1025.6,1026.4,0.01,0.0,1.0,1.0,1.0,1.0,1400.47,0.0,0.0,0.0,0.0,0.0,0.0,326.1317668575350,449.2221625704690,6.5395373288703400,323.77947300371700,219.45204154881200,7.620459522845670,323.0012224242320,29.444349118902000,-5.0310247751924600,0.5865505972906980,-0.9384253049592830
54456477,5.413000,0.000000,0.000000,1023.98,1024.27,1025.53,1026.54,0.01,0.01,1.0,1.0,1.0,1.0,1400.57,0.0,0.0,0.0,0.0,0.0,0.0,326.1345968112620,449.2860774619080,6.498068741068060,323.85119170466000,219.5265429827520,7.83025174921547,323.168055774382,29.50924825312150,-5.165485483966030,0.5694003898372220,-0.9328161767200930
54456577,5.512000,0.000000,0.000000,1023.96,1024.28,1025.54,1026.39,0.02,0.01,1.0,1.0,1.0,1.0,1400.51,0.0,0.0,0.0,0.0,0.0,0.0,326.1281593961990,449.2484578164930,6.523618907984060,323.8712404852390,219.51206893591200,7.8272648206694700,323.2621899908590,29.42258364815440,-5.1867611654484400,0.5628527949243850,-0.9421294000608680
54456678,5.612000,0.000000,0.000000,1024.0,1024.28,1025.32,1026.38,0.02,0.01,1.0,1.0,1.0,1.0,1400.56,0.0,0.0,0.0,0.0,0.0,0.0,326.12586067960000,449.2950827678080,6.497757766330010,323.9128548709950,219.4389678563190,7.542219407791330,323.38542367456700,29.440919613483300,-5.224401813006720,0.5516145410618080,-0.9441774276784590
54456777,5.713000,0.000000,0.000000,1023.97,1024.23,1025.56,1026.44,0.02,0.01,1.0,1.0,1.0,1.0,1400.51,0.0,0.0,0.0,0.0,0.0,0.0,326.1242750893320,449.2406401630800,6.514849172832280,323.93949364773800,219.4743390574850,7.681927898782730,323.3789077805420,29.47353138545340,-5.245155720676270,0.5447926117119690,-0.9205379891577190
