ezloophw-py logger started on:,2026-2-12_134424,,,,,,,,,,,,,,,,,,,,,,,,
ctrl_params:,{'n_inputs': 2, 'bidirectional': True,'u_offset': array([1022.,1022,1022,1022.]),'u_max': 1350.0, 'cmd_separator': ',', 'cmd_bookends': ('<', '>')},,,,,,,,,,,,,,
Timestamp (millisec since midnight today),Test time,u_t(0),u_t(1),MPRpressure_0,MPRpressure_1,MPRpressure_2,MPRpressure_3,ForcePlate_0,ForcePlate_1,ValveOpening_0,ValveOpening_1,ValveOpening_2,ValveOpening_3,RPRpressure_0,tagid_x_102,tagid_y_102,tagid_rotation102,tagid_x_103,tagid_y_103,tagid_rotation103,tagid_x_104,tagid_y_104,tagid_rotation104,theta_0,theta_1
49475152,6.805000,0.000000,0.000000,1018.81,1007.36,1019.65,1018.36,-0.05,0.0,0.76,1.0,0.53,0.8,1011.33,637.1496491146110,681.6280342900010,0.4542036280725960,676.1734662276510,344.2276842018560,-10.01545456992330,744.8947991790330,67.55807808029680,-17.019397997062900,-6.597530756597950,-0.7542061759547490
49475252,6.905000,0.000000,0.000000,1019.04,1007.28,1019.6,1018.14,-0.05,0.0,0.73,1.0,0.55,0.84,1011.27,637.1328485052400,681.6788920080140,0.5242657405119340,677.3671601186200,344.5296742411710,-10.494554177542500,746.7060315002690,67.98180277439460,-17.159810335870200,-6.805311805975560,-0.464983254408585
49475352,7.005000,0.000000,0.000000,1019.1,1007.13,1019.55,1018.35,-0.05,0.0,0.73,1.0,0.55,0.84,1011.25,637.1063641251520,681.694121930273,0.5096660219142090,678.8088430519520,344.80952174419300,-10.881303800125400,752.2063294184480,68.88757269139830,-18.063112705119100,-7.056666889992220,-0.7828521481538890
49475453,7.105000,0.000000,0.000000,1019.17,1007.18,1019.81,1018.17,-0.05,0.0,0.72,1.0,0.56,0.8,1011.33,637.1290955650260,681.764208052304,0.5909194874422780,681.977625351393,345.61808809288000,-11.659872089072700,754.6739395227800,69.23545390386060,-18.4615176861691,-7.599507886464650,0.4624246737275810
49475553,7.204000,0.000000,0.000000,1019.17,1007.18,1019.81,1018.17,-0.05,0.0,0.71,1.0,0.5,0.84,1011.24,637.1174634223620,681.7658348866570,0.5974703084432650,683.9561819778070,345.9761459457060,-12.356433516959300,764.3346583506270,70.98063806951320,-19.769934009427800,-7.940851321682650,-0.4114184683289800
49475653,7.305000,0.000000,0.000000,1019.4,1006.94,1019.87,1018.09,-0.05,0.0,0.67,1.0,0.49,0.82,1011.37,637.1016743385580,681.7382656689420,0.5233696560808630,684.9868357960680,346.1467169597870,-12.925547104569300,766.5100753735620,71.45006877120140,-19.645144287631900,-8.120650720614990,-0.28829795296333300
49475753,7.405000,0.000000,0.000000,1019.4,1006.94,1019.87,1018.09,-0.05,0.0,0.67,1.0,0.49,0.86,1011.28,637.1124911780360,681.7257492299400,0.5193813725948550,686.667222446804,346.42475558875800,-13.10117247334870,772.1139618913760,73.52850793413790,-21.086651206254300,-8.406988212437390,-0.5719209874199580
49475854,7.505000,0.000000,0.000000,1019.54,1006.77,1019.84,1018.11,-0.05,0.0,0.65,1.0,0.5,0.85,1011.32,637.1406682401630,681.7492095326050,0.40298386974902200,688.9347097185430,346.8220370160510,-13.991337270864700,774.78446304613,74.43424852830630,-21.29123351426610,-8.790740288189470,0.0879450400658115
49475953,7.605000,0.000000,0.000000,1019.67,1006.73,1019.87,1018.04,-0.05,0.0,0.63,1.0,0.5,0.87,1011.22,637.1218300078760,681.7584685921580,0.5476879934746710,690.0607169010490,347.1372079044360,-14.303368745730000,782.0149775297080,76.67862889832280,-22.523133282779200,-8.989991920607560,-0.7977348703175410
49476053,7.706000,0.000000,0.000000,1019.79,1006.78,1019.97,1018.05,-0.05,0.0,0.61,1.0,0.48,0.87,1011.28,637.1385748997640,681.7859589542710,0.5721924804448650,691.881302225174,347.6310154051760,-14.965956991730000,784.450402643819,77.20989414126360,-22.73258568709550,-9.303800042656220,-0.2892245120864880
49476153,7.805000,0.000000,0.000000,1020.03,1006.73,1020.12,1017.99,-0.05,-0.01,0.57,1.0,0.45,0.88,1011.26,637.1175936342820,681.7522303431010,0.5319600412542690,692.427025073331,347.74719898022300,-15.15825817540480,789.369133137587,78.77473312551780,-23.377750523737600,-9.40254738747586,-1.0149033061080100
49476253,7.906000,0.000000,0.000000,1020.03,1006.51,1019.98,1017.93,-0.05,-0.01,0.57,1.0,0.47,0.89,1011.33,637.1601047321290,681.6806568694740,0.464042688540012,694.8322075603110,348.23435073754600,-15.907802592829100,790.7927760579080,79.35128331706290,-23.852782294418300,-9.812667642020320,-0.015429273932021200
